val_index,title,price,actual_ordered,purchase_probability,predicted_ordered,purchase_score,recommendation,rationale
0,Men's Cotton Linen Casual Long Sleeve Shirt Light Blue / 4XL,35.44,1,0.42,0,5,SKIP,"This product contains keywords with mixed purchase rates: 'cotton' (0.286), 'linen' (0.278), 'casual' (0.269), and 'long sleeve' (0.407). While the 'long sleeve' keyword shows above-average performance and the price ($35.44) is below average purchased price ($40.85), the combination of lower-performing keywords 'casual', 'linen', and 'cotton' brings down the overall probability. The weighted average of these factors suggests moderate but below-threshold purchase likelihood."
1,Men's Summer Solid Color Comfortable V-neck Short-sleeved T-shirt Blue / L,18.86,0,0.28,0,3,SKIP,"The product contains 'short sleeve' keyword which has a low purchase rate of 20%. While the price of $18.86 is significantly below both the average purchased ($40.85) and not purchased ($41.35) prices, no other high-performing keywords (like flannel or long sleeve) are present. The lack of strong positive indicators combined with the weak short sleeve category performance suggests this product is unlikely to be purchased."
2,Men's Cotton Knit Striped Polo Shirt Khaki / 4XL,36.06,1,0.32,0,4,SKIP,"This cotton polo shirt has a price below the average for both purchased and non-purchased items, which is slightly favorable. However, the 'cotton' keyword shows only a 28.6% purchase rate, and there are no high-performing keywords like 'flannel' or 'long sleeve' present. The overall statistics suggest this product will perform near or slightly below the baseline purchase rate."
3,Leisure Textured Shirt Set Dark Red / L,45.1,0,0.26,0,3,SKIP,"This product contains the keyword 'set' which has a low purchase rate of 26.4% in historical data. The price of $45.10 is above the average for both purchased and non-purchased items, which typically correlates with lower purchase likelihood. No high-performing keywords like 'flannel' or 'long sleeve' are present to offset these factors."
4,Effortless Comfort Textured Shirt Set Khaki / L,70.41,0,0.22,0,2,SKIP,"This product contains the keyword 'set' which has a low purchase rate of 26.4%. The price of $70.41 is significantly higher than both the average purchased ($40.85) and non-purchased ($41.35) price points, suggesting price resistance. The combination of a low-performing keyword category and above-average pricing indicates poor purchase likelihood."
5,Men's Linen Henley Long Sleeve Shirt Blue / L,27.32,0,0.52,1,6,SELECT,"This product combines 'linen' (0.278 rate) and 'long sleeve' (0.407 rate) keywords, with long sleeve being a strong positive indicator. The price of $27.32 is well below the average purchased price of $40.85, which typically correlates with higher purchase likelihood. The combination of favorable keywords and competitive pricing suggests moderate purchase potential."
6,Essential Muscle Fit Dress Shirt White / L,66.74,1,0.25,0,3,SKIP,"The price of $66.74 is significantly higher than the average price of purchased items ($40.85), which typically correlates with lower purchase rates. The title contains no keywords with strong purchase rates from the historical data (no flannel, long sleeve, cotton, etc.). The lack of favorable keyword signals combined with the elevated price point suggests this product is unlikely to be purchased."
7,Western Cowboy Style Cotton Shirt (US Only) Black / L,39.89,0,0.35,0,4,SKIP,"The product contains 'cotton' keyword which has a 28.6% purchase rate, slightly below the overall average of 31.8%. The price of $39.89 is slightly below the average for purchased items ($40.85), which is marginally favorable. However, without stronger positive keywords like 'flannel' or 'long sleeve', the predicted purchase probability remains below the 50% threshold."
8,Long Sleeve Cotton Linen Henley Shirt (US Only) Dark Blue / L,36.15,0,0.42,0,5,SKIP,"This product contains keywords 'long sleeve' (0.407 rate), 'cotton' (0.286 rate), and 'linen' (0.278 rate). While 'long sleeve' shows above-average purchase rates, the combination with lower-performing 'cotton' and 'linen' keywords brings the overall probability down. The price at $36.15 is below both averages, which is slightly favorable, but not enough to push above the 0.50 threshold."
9,Leisure Textured Shirt Set Red / XXXL,41.81,1,0.26,0,3,SKIP,This product contains the keyword 'set' which has a low purchase rate of 0.264 in historical data. The price of $41.81 is slightly above the average for purchased items ($40.85). No high-performing keywords like 'flannel' or 'long sleeve' are present to boost conversion likelihood.
