price,ordered,gender,material,product_type,sleeve_or_neck,size,fit,fabric_finish,pattern,details,primary_color,secondary_color,is_multicolor,formality_level,color_brightness,pattern_complexity,perceived_quality,trend_alignment,visual_uniqueness,estimated_purchase_appeal,style_category,seasonality
35.44,1,Men,Cotton,Shirt,Long Sleeve,4XL,Standard,,Solid,,Light Blue,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
29.7,1,unknown,Flannel,Shirt,unknown,L,Standard,,Checked,,White,Red,True,3.0,4.0,2.0,3.0,4.0,4.0,4.0,Casual,Winter
34.44,0,Men,Linen,Shirt,Long Sleeve,5XL,Standard,,Solid,,Khaki,,False,3.0,4.0,1.0,3.0,4.0,3.0,4.0,Casual,Summer
45.1,0,unknown,unknown,Shirt & Shorts Set,unknown,L,Standard,Textured,Solid,,Dark Red,,False,2.0,2.0,2.0,3.0,3.0,3.0,3.0,Casual,All-Season
59.75,0,Men,Cotton,Shirt,unknown,L,Standard,Washed,Solid,Pocket,Dark Grey,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
55.99,0,Men,unknown,Shirt,unknown,L,Standard,Washed,Solid,,Pink,,False,3.0,4.0,2.0,3.0,4.0,4.0,4.0,Vintage,All-Season
42.26,0,unknown,Cotton,Shirt,unknown,M,Standard,,Floral/Graphic,,Black,,False,3.0,3.0,2.0,4.0,3.0,2.0,4.0,Vintage,All-Season
58.08,0,Men,Cotton,Shirt,unknown,2XL,Standard,Washed,Solid,Pocket,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
62.52,0,Men,unknown,Shirt,unknown,S,Standard,Washed,Solid,,Sky Blue,,False,3.0,4.0,2.0,4.0,4.0,4.0,4.0,Vintage,All-Season
45.23,0,unknown,unknown,Shirt,unknown,M,Standard,Soft/Luxurious,Solid,,Green,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
30.68,1,Men,Cotton,Shirt,Long Sleeve,L,Standard,,Solid,,Khaki,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,All-Season
28.76,1,Men,Cotton,Shirt,unknown,5XL,Standard,,Solid,Collar,Yellow,,False,3.0,4.0,1.0,4.0,4.0,3.0,4.0,Vintage,All-Season
54.97,0,unknown,unknown,Shirt & Shorts Set,unknown,L,Loose,,Solid,,White,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
45.46,0,unknown,Cotton,Shirt & Shorts Set,unknown,L,Standard,,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
52.39,0,unknown,unknown,Shirt & Shorts Set,unknown,XL,Loose,,Solid,,Clear Blue,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
52.36,1,unknown,unknown,Shirt & Shorts Set,unknown,L,Loose,,Solid,,Purple,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
58.27,1,Men,unknown,Shirt,unknown,L,Standard,Washed,Solid,,Black,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Vintage,All-Season
45.66,1,unknown,unknown,Polo & Shorts Set,unknown,M,Standard,Stretch,Solid,,Green,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,All-Season
54.04,0,unknown,Cotton,Shirt & Shorts Set,unknown,L,Standard,,Solid,Henley,Coffee,,False,3.0,3.0,2.0,4.0,4.0,3.0,4.0,Casual,Summer
36.09,0,Men,Linen,Shirt,unknown,M,Standard,,Solid,,Pink,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
33.26,0,Men,Linen,Shirt,Short Sleeve,L,Standard,,Solid,Button-Down,Khaki,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
61.87,1,Men,Cotton,Shirt,unknown,L,Standard,Washed,Solid,Pocket,Pink,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
29.45,1,unknown,unknown,Shirt,unknown,L,Standard,,Solid,,Black,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Vintage,All-Season
29.46,0,unknown,Flannel,Shirt,Long Sleeve,L,Standard,,Solid,,Army Green,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,Winter
35.21,1,Men,Linen,Shirt,Long Sleeve,5XL,Standard,,Solid,,Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,Summer
63.24,1,unknown,unknown,Shirt,unknown,XL,Muscle,,Solid,,Burgundy,,False,3.0,2.0,1.0,3.0,3.0,2.0,3.0,Casual,All-Season
29.3,1,unknown,Flannel,Shirt,Long Sleeve,L,Standard,,Solid,,Black,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Winter
50.7,1,unknown,unknown,Shirt & Shorts Set,unknown,XXL,Loose,,Solid,,Khaki,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
34.54,0,unknown,Linen,Shirt,unknown,L,Standard,,Solid,,Dark Grey,,False,3.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
27.87,1,unknown,unknown,Polo,Short Sleeve,M,Standard,,Solid,Collar,Red,,False,2.0,3.0,1.0,3.0,4.0,3.0,3.0,Casual,Summer
54.95,0,unknown,unknown,Shirt & Shorts Set,unknown,L,Loose,,Solid,,Dark Green,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
45.2,1,unknown,unknown,Shirt & Shorts Set,unknown,M,Standard,Textured,Solid,,Red,,False,2.0,2.0,2.0,3.0,3.0,3.0,3.0,Casual,All-Season
34.01,1,Men,Silk,Shirt,unknown,4XL,Standard,Breathable/Thin,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
29.79,0,unknown,Flannel,Shirt,Long Sleeve,L,Standard,,Solid,,Wine Red,,False,2.0,3.0,1.0,3.0,4.0,3.0,3.0,Casual,Winter
47.21,0,unknown,unknown,T-Shirt & Shorts Set,unknown,XXXL,Standard,Breathable/Thin,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
52.66,0,unknown,unknown,Shirt & Shorts Set,unknown,L,Loose,,Solid,,Pink,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
67.79,1,unknown,unknown,Shirt,unknown,M,Muscle,,Solid,,White,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
41.68,0,Men,Linen,Shirt,Long Sleeve,L,Standard,,Solid,,Navy Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Vintage,Summer
51.41,0,unknown,Cotton,Shirt & Shorts Set,unknown,L,Standard,,Solid,,Blue,,False,2.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,Summer
32.7,0,unknown,Cotton,T-Shirt & Shorts Set,unknown,4XL,Loose,,Solid,,Light Grey,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
29.97,0,Men,unknown,Shirt,Short Sleeve,M,Standard,,Checked,,Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Formal,Summer
33.07,0,Men,Linen,Shirt,Short Sleeve,M,Standard,,Solid,Button-Down,Green,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
32.27,0,unknown,unknown,Shirt,unknown,L,Standard,Stretch,Solid,,Blue,,False,2.0,3.0,1.0,3.0,4.0,3.0,3.0,Casual,All-Season
34.06,1,Men,Linen,Shirt,Long Sleeve,5XL,Standard,,Solid,,Green,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
49.64,0,unknown,unknown,Shirt & Shorts Set,unknown,L,Standard,Textured,Solid,,Beige,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
67.12,0,unknown,unknown,Shirt,unknown,M,Muscle,,Solid,,Navy Blue,,False,3.0,2.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
57.03,0,unknown,Cotton,Shirt & Shorts Set,unknown,XXL,Standard,,Solid,,Navy Blue,,False,3.0,2.0,2.0,3.0,3.0,3.0,3.0,Casual,All-Season
48.9,0,unknown,Cotton,Shirt & Shorts Set,unknown,S,Standard,,Solid,,Sky Blue,,False,3.0,4.0,1.0,4.0,4.0,2.0,4.0,Casual,All-Season
37.47,0,Men,Linen,Shirt,Long Sleeve,L,Standard,,Solid,,Coffee,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Vintage,Summer
53.29,0,unknown,Cotton,Shirt & Shorts Set,unknown,XL,Standard,,Solid,,Navy Blue,,False,3.0,2.0,2.0,3.0,3.0,3.0,3.0,Casual,All-Season
81.5,0,unknown,unknown,Shirt,unknown,M,Muscle,,Solid,,White,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,All-Season
30.54,0,Men,unknown,Shirt,Short Sleeve,L,Standard,,Solid,Pocket,Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,Summer
20.47,0,Men,unknown,T-Shirt,V-Neck,3XL,Standard,,Solid,V-Neck,Blue,,False,3.0,3.0,1.0,3.0,4.0,3.0,4.0,Casual,All-Season
29.73,0,Men,Cotton,Shirt,Long Sleeve,5XL,Standard,,Solid,,Purple,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,All-Season
51.26,0,unknown,unknown,Shirt & Shorts Set,unknown,XL,Loose,,Solid,,Khaki,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
70.41,0,unknown,unknown,Shirt & Shorts Set,unknown,L,Standard,Textured,Solid,,Khaki,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
29.16,0,unknown,Cotton,Shirt,unknown,L,Standard,,Striped,,Blue,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
28.64,1,unknown,Cotton,Shirt,unknown,L,Standard,,Solid,,unknown,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
38.68,0,Men,Linen,Shirt,Long Sleeve,M,Standard,,Solid,,Light Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Vintage,Summer
40.13,0,unknown,Cotton,Shirt,unknown,L,Standard,,Solid,,unknown,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
40.76,0,Men,Linen,Shirt,Long Sleeve,L,Standard,,Solid,,Light Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Vintage,Summer
35.72,0,Men,Silk,Shirt,unknown,5XL,Standard,Breathable/Thin,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
66.74,1,unknown,unknown,Shirt,unknown,L,Muscle,,Solid,,White,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
28.39,1,Men,Cotton,T-Shirt,unknown,5XL,Standard,"Washed, Distressed",Solid,,Khaki,,False,3.0,4.0,1.0,4.0,4.0,2.0,4.0,Casual,All-Season
38.81,1,Men,Linen,Shirt,unknown,M,Standard,,Solid,,Purple,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
31.25,0,unknown,unknown,Shirt,unknown,L,Standard,,Solid,,White,,False,4.0,5.0,1.0,3.0,3.0,2.0,3.0,Vintage,All-Season
42.74,0,unknown,unknown,Shirt & Shorts Set,unknown,M,Standard,Textured,Solid,,Dark Green,,False,2.0,3.0,2.0,3.0,4.0,4.0,3.0,Casual,All-Season
36.3,0,Men,Linen,Shirt,unknown,L,Standard,,Solid,,Brown,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,Summer
