title,image,price,ordered,image_path,gender,material,product_type,sleeve_or_neck,color,size,style_category_x,seasonality_x,price_tier,fit,fabric_finish,pattern,details,primary_color,secondary_color,is_multicolor,image_path_cleaned,product_id,style_category_y,formality_level,color_brightness,pattern_complexity,seasonality_y,perceived_quality,trend_alignment,target_age_group,gender_presentation,visual_uniqueness,estimated_purchase_appeal
Men's Cotton Linen Casual Long Sleeve Shirt Light Blue / 4XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSwpG_ZCN7woBcln7X_zpLG4c9K-V0FdAIfMqHXD4Yf5isfV4_lS2zL_YSrGw,35.44,1,image_0,Men,Cotton,Shirt,Long Sleeve,Light Blue,4XL,Casual,All-Season,Mid-range,Standard,,Solid,,Light Blue,,False,image\image_0,image_0,smart_casual_shirt,4.0,4.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Casual Checked Flannel Shirt White/Red / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcR7cPnO4bzE8q2WUnrel8Fl6cOJW0imJZmXiTn6OJ5nsRUEBGeudKFaoBA5,29.7,1,image_1,unknown,Flannel,Shirt,unknown,White & Red,L,Casual,Winter,Budget,Standard,,Checked,,White,Red,True,image\image_1,image_1,casual_resort_shirt,3.0,4.0,2.0,spring_summer,3.0,4.0,young_adult,masculine,4.0,4.0
Men's Linen Long Sleeve Shirts Khaki / 5XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQIdkgbBPajj0QglpkwNrscVIcbeSQF6qGkDYH-Qv5PLTqbp4Nz8J4tzLU4zA,34.44,0,image_2,Men,Linen,Shirt,Long Sleeve,Khaki,5XL,Casual,Summer,Mid-range,Standard,,Solid,,Khaki,,False,image\image_2,image_2,casual_resort_shirt,3.0,4.0,1.0,spring_summer,3.0,4.0,young_adult,masculine,3.0,4.0
Leisure Textured Shirt Set Dark Red / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSHS41W2YIUjWn-G2q28BUaHwRkHAZtpHqUSjYGucRCYTl89yw_ren2K_QMjg,45.1,0,image_3,unknown,unknown,Shirt & Shorts Set,unknown,Dark Red,L,Casual,All-Season,Mid-range,Standard,Textured,Solid,,Dark Red,,False,image\image_3,image_3,casual_shirt,2.0,2.0,2.0,all_season,3.0,3.0,young_adult,masculine,3.0,3.0
Men's Premium Washed Cotton Pocket Shirt Dark Grey / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcTGNc2xEcc0cgnutr-jDsMMB4-Xpa04OZsstCoJGt2WUewOoiVAu-BjkjL_dLc,59.75,0,image_4,Men,Cotton,Shirt,unknown,Dark Grey,L,Casual,All-Season,Mid-range,Standard,Washed,Solid,Pocket,Dark Grey,,False,image\image_4,image_4,casual_shirt,4.0,3.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Men's Vintage Premium Washed Shirt Pink / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcTn5zNl8PuiiDQzAIIbxFsLhEDuDFtYgLp0V0mYCJw4Tovi962GHCoFF0TIamU,55.99,0,image_5,Men,unknown,Shirt,unknown,Pink,L,Vintage,All-Season,Mid-range,Standard,Washed,Solid,,Pink,,False,image\image_5,image_5,casual_resort_shirt,3.0,4.0,2.0,spring_summer,3.0,4.0,young_adult,masculine,4.0,4.0
Western Cowboy Embroidered Button Down Cotton Shirt (US Only) Black (Retro Rose) / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRu9XoNFnWJKeGXQH_V8oB_nAJPf5A0vbzCC4FLXrDFfbL7wMEuX0Bwf-7E,42.26,0,image_6,unknown,Cotton,Shirt,unknown,Black,M,Vintage,All-Season,Mid-range,Standard,,Floral/Graphic,,Black,,False,image\image_6,image_6,smart_casual_shirt,3.0,3.0,2.0,all_season,4.0,3.0,young_adult,masculine,2.0,4.0
Men's Premium Washed Cotton Pocket Shirt White / 2XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcTPWxbUEW5fMFb4YirtiqOZ3hqsjqbWuoeAx0ft-_u6QrgH-VzygD2fyZc1dQ,58.08,0,image_7,Men,Cotton,Shirt,unknown,White,2XL,Casual,All-Season,Mid-range,Standard,Washed,Solid,Pocket,White,,False,image\image_7,image_7,casual_shirt,4.0,4.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Men's Vintage Premium Washed Shirt Sky Blue / S,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSX3BhoWib7_mFJaMRE2c4yWhZYrudBbQkw1w7HL3gS0tjUr1EpOqqgxnuXIvU,62.52,0,image_8,Men,unknown,Shirt,unknown,Sky Blue,S,Vintage,All-Season,Premium,Standard,Washed,Solid,,Sky Blue,,False,image\image_8,image_8,casual_resort_shirt,3.0,4.0,2.0,spring_summer,4.0,4.0,young_adult,masculine,4.0,4.0
Modern Soft Cable Knit Shirt Green / M,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQohXcLkqjOTRkOdkz81noKlPcBAeoK91M1Fva-6RiVj1RYd86HS6P9rmfQbw,45.23,0,image_9,unknown,unknown,Shirt,unknown,Green,M,Casual,All-Season,Mid-range,Standard,Soft/Luxurious,Solid,,Green,,False,image\image_9,image_9,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
Men's Cotton Long Sleeve Shirt Khaki / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcTykMjRpk-jf0zg4dsLER9GyjJ2tEW1jHCWWJP3QRsxMMIfPazUzbZtWcRCwA,30.68,1,image_10,Men,Cotton,Shirt,Long Sleeve,Khaki,L,Casual,All-Season,Mid-range,Standard,,Solid,,Khaki,,False,image\image_10,image_10,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Men's Cotton And Linen Classic Casual Stand-up Collar Short-sleeved Shirt Yellow / 5XL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcRTQadzRNQNSntaxMXkUHt8J92e5PVZO3AcEKvb6iFk9QX9ezM-lkSNvPVt,28.76,1,image_11,Men,Cotton,Shirt,unknown,Yellow,5XL,Vintage,All-Season,Budget,Standard,,Solid,Collar,Yellow,,False,image\image_11,image_11,casual_resort_shirt,3.0,4.0,1.0,spring_summer,4.0,4.0,young_adult,masculine,3.0,4.0
Casual Loose Fit Shirt Sets (US Only) White / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQ5gUcbB0_M09qdlPOZb4NpQFMHNwXcbe683T7-JDIG7Cbz-ZKqaIadBucI,54.97,0,image_12,unknown,unknown,Shirt & Shorts Set,unknown,White,L,Casual,All-Season,Mid-range,Loose,,Solid,,White,,False,image\image_12,image_12,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
Casual Cotton and Linen Shirt Set White / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcQcldHSF4ZuTZJ4lE7o01wdsrznfyjGKhY4hPC53eqst_lFsHg9sX7rEWI6eQ,45.46,0,image_13,unknown,Cotton,Shirt & Shorts Set,unknown,White,L,Casual,All-Season,Mid-range,Standard,,Solid,,White,,False,image\image_13,image_13,smart_casual_shirt,4.0,4.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Casual Loose Fit Shirt Sets (US Only) Clear Blue / XL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcT1F8wV0gnkozhdqol-fYfahASOa4evkG7zdN29YJ_rMrGvq75PfL1jZNm0Xg,52.39,0,image_14,unknown,unknown,Shirt & Shorts Set,unknown,Clear Blue,XL,Casual,All-Season,Mid-range,Loose,,Solid,,Clear Blue,,False,image\image_14,image_14,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
Casual Loose Fit Shirt Sets (US Only) Purple / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcTSIK3VduaK65e5xLX106mPVCDLX-djGfFCFExXg74cJPwUNs0Tl3A5ETC1vA,52.36,1,image_15,unknown,unknown,Shirt & Shorts Set,unknown,Purple,L,Casual,All-Season,Mid-range,Loose,,Solid,,Purple,,False,image\image_15,image_15,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
Men's Vintage Premium Washed Shirt Black / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQ8I1DHkhDkq1Ijy6Q_8z9ogGK_mAvqLHKTPHl8vi4Fc0Lhx_wTLkFP-EpgiHc,58.27,1,image_16,Men,unknown,Shirt,unknown,Black,L,Vintage,All-Season,Mid-range,Standard,Washed,Solid,,Black,,False,image\image_16,image_16,smart_casual_shirt,4.0,3.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
